**********************
Windows PowerShell transcript start
Start time: 20180717224543
Username: DESKTOP-24IJDG4\Himanshu
RunAs User: DESKTOP-24IJDG4\Himanshu
Configuration Name: 
Machine: DESKTOP-24IJDG4 (Microsoft Windows NT 10.0.17134.0)
Host Application: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
Process ID: 12836
PSVersion: 5.1.17134.165
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.17134.165
BuildVersion: 10.0.17134.165
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
Transcript started, output file is C:\Users\Himanshu\Documents\PowerShell_transcript.DESKTOP-24IJDG4.EmaNo1Fv.20180717224543.txt
PS C:\WINDOWS\system32> Get-Command

CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Alias           Add-ProvisionedAppxPackage                         3.0        Dism
Alias           Add-ProvisioningPackage                            3.0        Provisioning
Alias           Add-TrustedProvisioningCertificate                 3.0        Provisioning
Alias           Apply-WindowsUnattend                              3.0        Dism
Alias           Begin-WebCommitDelay                               1.0.0.0    WebAdministration
Alias           Disable-PhysicalDiskIndication                     2.0.0.0    Storage
Alias           Disable-StorageDiagnosticLog                       2.0.0.0    Storage
Alias           Enable-PhysicalDiskIndication                      2.0.0.0    Storage
Alias           Enable-StorageDiagnosticLog                        2.0.0.0    Storage
Alias           End-WebCommitDelay                                 1.0.0.0    WebAdministration
Alias           Flush-Volume                                       2.0.0.0    Storage
Alias           Get-DiskSNV                                        2.0.0.0    Storage
Alias           Get-PhysicalDiskSNV                                2.0.0.0    Storage
Alias           Get-ProvisionedAppxPackage                         3.0        Dism
Alias           Get-StorageEnclosureSNV                            2.0.0.0    Storage
Alias           Initialize-Volume                                  2.0.0.0    Storage
Alias           Move-SmbClient                                     2.0.0.0    SmbWitness
Alias           Optimize-ProvisionedAppxPackages                   3.0        Dism
Alias           Remove-EtwTraceSession                             1.0.0.0    EventTracingManagement
